key,value
hero.title,Dilia
hero.subtitle,A little institution in the heart of the 20th arrondissement
sections.chef.title,The Chef
sections.chef.subtitle,Michele Farnesi
sections.chef.description,"Established in the neighborhood for over ten years, Dilia has become an essential address, a house where you return, where you feel at home. A place that reflects its cuisine: sincere, warm and personal.

At the helm, Chef Michele Farnesi creates cuisine inspired by his Tuscan roots. Honest cooking, precise in flavors and timing, without artifice. The name Dilia is a tribute to his grandparents, and particularly to his two grandmothers, great everyday cooks: Ilia, an expert in broths, passed on to Michele her secrets for perfectly balanced broths and Immola, whose specialty was rabbit in umido, embodies that generous and earthy Tuscany that still nourishes the spirit of the menu today.

Michele's journey is one of encounters and travels. He begins in Alba, where chef Fulvio takes him under his wing, before continuing in Stockholm and Modena. In Paris, he joins the kitchens of Giovanni Passerini at Rino, takes his first head chef position at Heimat, but soon dreams of independence.

He fell in love with this place the first time he saw it, so naturally when Michele decided to settle down, he went to see his friend Simone Tondo, then at the helm of Roseval, and offered to take over the restaurant. A few months later, Dilia was born."
sections.chef.quote,Cooking is the love you put into every dish.
sections.menu.title,The Menu
sections.menu.subtitle,Seasonal cuisine
sections.menu.description,"Our menu evolves with the seasons, showcasing the finest Italian products. From antipasti to desserts, each dish tells a story of tradition and passion."
sections.wines.title,Wines
sections.wines.subtitle,Selection
sections.wines.description,"Wine plays a central role at the restaurant, particularly thanks to Daniele, our passionate manager who accompanies each table with care and precision, and to Dilia La Cave, from which many wines are imported directly from Italian winemakers."
sections.reservation.title,Reservation
sections.reservation.subtitle,Book your table
sections.reservation.description,"We are open Thursday to Sunday for lunch and dinner, Monday for dinner only

From 12:30 to 14:00 and from 19:30 to 22:30

We are available on opening days at +33(0)953562414

We do not accept checks or American Express cards.

Thank you and see you soon!"
sections.contact.title,Contact
sections.contact.subtitle,Find us
sections.contact.address,"1 Rue d'Eupatoria, 75020 Paris"
sections.contact.phone,+33 9 53 56 24 14
sections.contact.email,contact@dilia.fr
sections.contact.hours.title,Hours
sections.contact.hours.lunch,Lunch from Thursday to Sunday: 12:30pm - 2pm
sections.contact.hours.dinner,Dinner from Thursday to Monday: 7:30pm - 10:30pm
sections.contact.hours.closed,Closed on Tuesday and Wednesday
